LGA,Year,Developmentally on track,Developmentally vulnerable
ALPINE,2021,88.59649123,3.50877193
ARARAT,2021,70.33898305,12.71186441
BALLARAT,2021,79.08396947,9.847328244
BANYULE,2021,87.64792899,4.215976331
BASS COAST,2021,80.76923077,12.13017751
BAW BAW,2021,71.67182663,12.38390093
BAYSIDE,2021,90.68522484,3.211991435
BENALLA,2021,78.76106195,8.849557522
BOROONDARA,2021,85.47140649,4.55950541
BRIMBANK,2021,74.69990766,11.26500462
BULOKE,2021,68.62745098,11.76470588
CAMPASPE,2021,68.03874092,14.28571429
CARDINIA,2021,82.3601721,7.25261217
CASEY,2021,83.99250234,6.579194002
CENTRAL GOLDFIELDS,2021,70.94017094,19.65811966
COLAC OTWAY,2021,83.53909465,6.995884774
CORANGAMITE,2021,73.96449704,13.60946746
DAREBIN,2021,83.91376451,5.223880597
EAST GIPPSLAND,2021,80,9.024390244
FRANKSTON,2021,80.07402838,8.760024676
GANNAWARRA,2021,80,8.695652174
GLEN EIRA,2021,83.77001456,5.312954876
GLENELG,2021,81.38297872,10.10638298
GOLDEN PLAINS,2021,77.39130435,11.30434783
GREATER BENDIGO,2021,76.40625,10.234375
GREATER DANDENONG,2021,77.95321637,10.70175439
GREATER GEELONG,2021,78.88012026,9.056745584
GREATER SHEPPARTON,2021,75.54417414,11.9078105
HEPBURN,2021,69.91869919,9.756097561
HINDMARSH,2021,64.44444444,13.33333333
HOBSONS BAY,2021,85.51587302,6.646825397
HORSHAM,2021,77.87234043,8.510638298
HUME,2021,75.09270705,11.49567367
INDIGO,2021,84.06593407,3.296703297
KINGSTON,2021,84.30094787,6.042654028
KNOX,2021,81.90127971,7.556368068
LATROBE,2021,72.92954265,14.58590853
LODDON,2021,79.66101695,11.86440678
MACEDON RANGES,2021,79.71473851,6.339144216
MANNINGHAM,2021,85.9348199,5.746140652
MANSFIELD,2021,92,1.333333333
MARIBYRNONG,2021,87.87878788,5.575757576
MAROONDAH,2021,83.97383483,5.478331971
MELBOURNE,2021,80.54662379,10.45016077
MELTON,2021,80.48148148,9.333333333
MILDURA,2021,82.54211332,9.954058193
MITCHELL,2021,72.34678625,12.10762332
MOIRA,2021,76.08695652,11.49068323
MONASH,2021,84.30571762,6.184364061
MOONEE VALLEY,2021,85.95859586,5.670567057
MOORABOOL,2021,80.42959427,9.307875895
MORELAND,2021,79.59731544,8.120805369
MORNINGTON PENINSULA,2021,80.99870298,6.549935149
MOUNT ALEXANDER,2021,87.64705882,4.117647059
MOYNE,2021,84.61538462,7.211538462
MURRINDINDI,2021,89.16666667,3.333333333
NILLUMBIK,2021,84,4.52173913
NORTHERN GRAMPIANS,2021,76.54320988,12.34567901
PORT PHILLIP,2021,81.47651007,6.845637584
PYRENEES,2021,82.35294118,8.823529412
SOUTH GIPPSLAND,2021,75.40453074,11.97411003
SOUTHERN GRAMPIANS,2021,85.54216867,6.626506024
STONNINGTON,2021,85.33772652,3.13014827
STRATHBOGIE,2021,87.03703704,7.407407407
SURF COAST,2021,92.5170068,2.494331066
SWAN HILL,2021,71.94570136,15.38461538
TOWONG,2021,72.09302326,9.302325581
WANGARATTA,2021,80.42813456,9.480122324
WARRNAMBOOL,2021,83.51648352,7.692307692
WELLINGTON,2021,75.23809524,11.42857143
WEST WIMMERA,2021,77.41935484,9.677419355
WHITEHORSE,2021,84.68468468,6.628056628
WHITTLESEA,2021,82.1632516,6.818945247
WODONGA,2021,80.78994614,7.540394973
WYNDHAM,2021,80.50395046,8.904548366
YARRA,2021,78.24427481,9.732824427
YARRA RANGES,2021,79.7731569,8.380592313
YARRIAMBIACK,2021,79.66101695,11.86440678
