LGA,Year,Developmentally on track,Developmentally vulnerable
Alpine,2021,88.59649123,3.50877193
Ararat,2021,70.33898305,12.71186441
Ballarat,2021,79.08396947,9.847328244
Banyule,2021,87.64792899,4.215976331
Bass Coast,2021,80.76923077,12.13017751
Baw Baw,2021,71.67182663,12.38390093
Bayside,2021,90.68522484,3.211991435
Benalla,2021,78.76106195,8.849557522
Boroondara,2021,85.47140649,4.55950541
Brimbank,2021,74.69990766,11.26500462
Buloke,2021,68.62745098,11.76470588
Campaspe,2021,68.03874092,14.28571429
Cardinia,2021,82.3601721,7.25261217
Casey,2021,83.99250234,6.579194002
Central Goldfields,2021,70.94017094,19.65811966
Colac Otway,2021,83.53909465,6.995884774
Corangamite,2021,73.96449704,13.60946746
Darebin,2021,83.91376451,5.223880597
East Gippsland,2021,80,9.024390244
Frankston,2021,80.07402838,8.760024676
Gannawarra,2021,80,8.695652174
Glen Eira,2021,83.77001456,5.312954876
Glenelg,2021,81.38297872,10.10638298
Golden Plains,2021,77.39130435,11.30434783
Greater Bendigo,2021,76.40625,10.234375
Greater Dandenong,2021,77.95321637,10.70175439
Greater Geelong,2021,78.88012026,9.056745584
Greater Shepparton,2021,75.54417414,11.9078105
Hepburn,2021,69.91869919,9.756097561
Hindmarsh,2021,64.44444444,13.33333333
Hobsons Bay,2021,85.51587302,6.646825397
Horsham,2021,77.87234043,8.510638298
Hume,2021,75.09270705,11.49567367
Indigo,2021,84.06593407,3.296703297
Kingston,2021,84.30094787,6.042654028
Knox,2021,81.90127971,7.556368068
Latrobe,2021,72.92954265,14.58590853
Loddon,2021,79.66101695,11.86440678
Macedon Ranges,2021,79.71473851,6.339144216
Manningham,2021,85.9348199,5.746140652
Mansfield,2021,92,1.333333333
Maribyrnong,2021,87.87878788,5.575757576
Maroondah,2021,83.97383483,5.478331971
Melbourne,2021,80.54662379,10.45016077
Melton,2021,80.48148148,9.333333333
Mildura,2021,82.54211332,9.954058193
Mitchell,2021,72.34678625,12.10762332
Moira,2021,76.08695652,11.49068323
Monash,2021,84.30571762,6.184364061
Moonee Valley,2021,85.95859586,5.670567057
Moorabool,2021,80.42959427,9.307875895
Moreland,2021,79.59731544,8.120805369
Mornington Peninsula,2021,80.99870298,6.549935149
Mount Alexander,2021,87.64705882,4.117647059
Moyne,2021,84.61538462,7.211538462
Murrindindi,2021,89.16666667,3.333333333
Nillumbik,2021,84,4.52173913
Northern Grampians,2021,76.54320988,12.34567901
Port Phillip,2021,81.47651007,6.845637584
Pyrenees,2021,82.35294118,8.823529412
South Gippsland,2021,75.40453074,11.97411003
Southern Grampians,2021,85.54216867,6.626506024
Stonnington,2021,85.33772652,3.13014827
Strathbogie,2021,87.03703704,7.407407407
Surf Coast,2021,92.5170068,2.494331066
Swan Hill,2021,71.94570136,15.38461538
Towong,2021,72.09302326,9.302325581
Wangaratta,2021,80.42813456,9.480122324
Warrnambool,2021,83.51648352,7.692307692
Wellington,2021,75.23809524,11.42857143
West Wimmera,2021,77.41935484,9.677419355
Whitehorse,2021,84.68468468,6.628056628
Whittlesea,2021,82.1632516,6.818945247
Wodonga,2021,80.78994614,7.540394973
Wyndham,2021,80.50395046,8.904548366
Yarra,2021,78.24427481,9.732824427
Yarra Ranges,2021,79.7731569,8.380592313
Yarriambiack,2021,79.66101695,11.86440678
