LGA,Type,Population,SEIFA Score,Developmentally vulnerable
Alpine (S),Shires,13235,1027.612702,1.754385965
Ararat (RC),Rural Cities,11880,955.2148339,11.01694915
Ballarat (C),Cities,113763,985.7093504,9.236641221
Banyule (C),Cities,126236,1057.684713,6.434911243
Bass Coast (S),Shires,40789,992.8285467,14.79289941
Baw Baw (S),Shires,57626,1003.321525,10.99071207
Bayside (C),Cities,101306,1090.406575,3.961456103
Benalla (RC),Rural Cities,14528,968.4478935,15.04424779
Boroondara (C),Cities,167900,1089.616442,4.327666151
Brimbank (C),Cities,194618,912.4696637,13.06555863
Buloke (S),Shires,6178,975.0490374,13.7254902
Campaspe (S),Shires,38735,964.8686286,17.67554479
Cardinia (S),Shires,118194,1020.955982,8.302583026
Casey (C),Cities,365239,994.6710391,8.192725909
Central Goldfields (S),Shires,13483,897.5571127,15.38461538
Colac-Otway (S),Shires,22423,972.58665,7.407407407
Corangamite (S),Shires,16115,984.5903646,12.4260355
Darebin (C),Cities,148570,1018.342368,7.628524046
East Gippsland (S),Shires,48715,963.3117284,11.46341463
Frankston (C),Cities,139281,1003.136321,9.191856878
Gannawarra (S),Shires,10683,952.4122494,3.47826087
Glen Eira (C),Cities,148908,1074.592644,7.132459971
Glenelg (S),Shires,20152,952.299167,9.042553191
Golden Plains (S),Shires,24985,1039.942689,12.17391304
Greater Bendigo (C),Cities,121470,984.9620533,10.9375
Greater Dandenong (C),Cities,158208,886.6579124,13.75073142
Greater Geelong (C),Cities,271057,1007.331026,8.417888012
Greater Shepparton (C),Cities,68409,944.0409053,11.52368758
Hepburn (S),Shires,16604,1006.251286,6.504065041
Hindmarsh (S),Shires,5698,940.1013668,13.33333333
Hobsons Bay (C),Cities,91322,1020.66275,7.341269841
Horsham (RC),Rural Cities,20429,990.0981008,8.547008547
Hume (C),Cities,243901,940.8164076,14.70951792
Indigo (S),Shires,17368,1029.417236,5.494505495
Kingston (C) (Vic.),Cities,158129,1044.259648,7.523696682
Knox (C),Cities,159103,1042.169006,7.556368068
Latrobe (C) (Vic.),Cities,77318,930.8178602,14.21508035
Loddon (S),Shires,7759,948.1040223,8.474576271
Macedon Ranges (S),Shires,51458,1062.808882,5.229793978
Manningham (C),Cities,124700,1056.081109,5.746140652
Mansfield (S),Shires,10178,1027.619655,1.333333333
Maribyrnong (C),Cities,85209,1009.717021,5.454545455
Maroondah (C),Cities,115043,1041.026734,5.805396566
Melbourne (C),Cities,149615,1016.684788,9.967845659
Melton (C),Cities,178960,985.1878685,11.48148148
Mildura (RC),Rural Cities,56972,940.0018025,10.12269939
Mitchell (S),Shires,49460,999.547638,12.70553064
Moira (S),Shires,30522,958.2606536,10.86956522
Monash (C),Cities,190397,1042.308433,5.950991832
Moonee Valley (C),Cities,121851,1040.715483,5.400540054
Moorabool (S),Shires,37632,1017.233908,11.69451074
Moreland (C),Cities,171357,1026.530542,11.67785235
Mornington Peninsula (S),Shires,168948,1037.538438,5.51232166
Mount Alexander (S),Shires,20253,1007.453034,9.411764706
Moyne (S),Shires,17374,1028.978572,6.25
Murrindindi (S),Shires,15197,1004.689869,5.833333333
Nillumbik (S),Shires,62895,1092.873619,5.565217391
Northern Grampians (S),Shires,11948,951.3008393,18.51851852
Port Phillip (C),Cities,101942,1061.015673,5.771812081
Pyrenees (S),Shires,7671,958.6908796,7.352941176
South Gippsland (S),Shires,30577,1002.588744,13.59223301
Southern Grampians (S),Shires,16588,993.7303903,9.036144578
Stonnington (C),Cities,104703,1084.476004,6.095551895
Strathbogie (S),Shires,11455,981.9917555,11.11111111
Surf Coast (S),Shires,37694,1086.196967,4.761904762
Swan Hill (RC),Rural Cities,21403,940.6167909,9.502262443
Towong (S),Shires,6223,1000.769071,4.651162791
Wangaratta (RC),Rural Cities,29808,988.3513064,10.09174312
Warrnambool (C),Cities,35406,994.9477931,6.868131868
Wellington (S),Shires,45639,972.9694388,9.904761905
West Wimmera (S),Shires,4006,991.0072971,16.12903226
Whitehorse (C),Cities,169346,1042.697471,6.435006435
Whittlesea (C),Cities,229396,989.6036133,8.834397044
Wodonga (C),Cities,43253,973.0740152,10.05385996
Wyndham (C),Cities,292011,1005.516265,10.16876736
Yarra (C),Cities,90114,1045.741429,9.541984733
Yarra Ranges (S),Shires,156068,1041.249719,7.120352867
Yarriambiack (S),Shires,6556,945.9260556,8.474576271
